title,description,category
Foundation,No description available,Psychohistory
Ficciones,No description available,Anachronisms
Dracula,No description available,Count Dracula (Fictitious character)
Beloved,No description available,African American History
The Last Man,No description available,Fiction
The Time Machine,No description available,Self-experimentation in medicine in fiction
The Invisible Man,No description available,Ciencia-ficción
The Andromeda Strain,No description available,air safety
Dune,No description available,Dune (Imaginary place)
A Room of One's Own,No description available,Authorship
The Riddle of the Sands,No description available,"Great britain, fiction"
The Great God Pan,No description available,austin osman spare
The Scarlet Pimpernel,No description available,Classic Literature
Flatland,No description available,Fourth dimension
The Picture of Dorian Gray,No description available,British and irish fiction (fictional works by one author)
The blue castle,No description available,Juvenile fiction
The Awakening,No description available,Adultery
Dubliners,No description available,Daily Express
The War of the Worlds,No description available,Imaginary wars and battles
The Martian Chronicles,No description available,American Science fiction
Of Human Bondage,No description available,"People with disabilities, fiction"
Lilith,No description available,"Fiction, romance, fantasy"
The Sign of Four,No description available,Crime & Mystery
Persuasion,No description available,"Fiction, Romance, Historical, Regency"
The Scarlet Letter,No description available,Fiction
This Side of Paradise,No description available,Fiction
Wuthering Heights,No description available,British and irish fiction (fictional works by one author)
The Adventures of Tom Sawyer,No description available,The Adventures of Tom Sawyer
Fahrenheit 451,No description available,Mechanical Hound
Kim,No description available,Fiction
The First Men in the Moon,No description available,Classic Literature
The Lost World,No description available,Adventure stories
The Book of Dragons,No description available,Juvenile fiction
The Adventures of Sherlock Holmes [12 stories],No description available,Classic Literature
The Good Earth,No description available,"China, fiction"
Sense and Sensibility,No description available,"Fiction, Romance, Historical, Regency"
Poetics,No description available,Early works to 1800
The Moonstone,No description available,Fiction
"The alchemist, 1612",No description available,British and irish drama (dramatic works by one author)
A Room with a View,No description available,British
Daddy-Long-Legs,No description available,Philanthropists
White Fang,No description available,Gold discoveries
The Jungle,No description available,Slaughtering and slaughter-houses
Emma,No description available,Social life and customs
The Mysterious Affair at Styles,No description available,Fiction
Anthem,No description available,Fiction
The King in Yellow,No description available,Social life and customs
Anna Karenina,No description available,Fiction
The Hunger Games,No description available,severe poverty
Frankenstein or The Modern Prometheus,No description available,Frankenstein (Fictitious character)
The Mystery of the Blue Train,No description available,Crimes against
The Castle of Otranto,No description available,Castles
A Study in Scarlet,No description available,Action & Adventure Fiction
Pride and Prejudice,No description available,British and irish fiction (fictional works by one author)
Great Expectations,No description available,Authors
The Red Badge of Courage,No description available,1783-1865
Nineteen Eighty-Four,No description available,futurology
Eva Luna,No description available,Spanish language books
The Call of the Wild,No description available,Gold discoveries
The Kite Runner,No description available,New York Times bestseller
The Return of Sherlock Holmes,No description available,air guns
My Ántonia,No description available,Literature
Northern Lights,No description available,Political theology
The Age of Innocence,No description available,Fiction
Women in Love,No description available,Romance
His Last Bow [8 stories],No description available,short stories
Les Misérables,No description available,Poor
The Island of Dr. Moreau,No description available,Islands
El túnel,No description available,Spanish fiction
La Poetica,No description available,Metaphysics
Treasure Island,No description available,Fiction
Lolita,No description available,erotic fiction
The Witches,No description available,Fiction
The Handmaid's Tale,No description available,brothels
Adventures of Huckleberry Finn,No description available,adventure and adventurers
Twilight,No description available,New York Times bestseller
La casa de los espíritus,No description available,Chilean literature
Pickwick Papers,No description available,Fiction
A Princess of Mars,No description available,John Carter (Fictitious character)
Ulysses,No description available,Married people
The Sun Also Rises,No description available,"Fiction, Historical"
Guess How Much I Love You,No description available,Fiction
Matilda,No description available,juvenile fiction
The Pearl,No description available,Open Library Staff Picks
El Libro de la selva / The Jungle Book,No description available,Novela inglesa
Middlemarch,No description available,Young women
Catch-22,No description available,Open Library Staff Picks
The Bell Jar,No description available,women college students
The Tale of Peter Rabbit,No description available,"Rabbits, fiction"
The Portrait Of A Lady,No description available,Fiction
Far From the Madding Crowd,No description available,Fiction
One Flew Over the Cuckoo's Nest,No description available,Allegories
Don Quixote,No description available,Children: Grades 4-6
Animal Farm,No description available,British and irish fiction (fictional works by one author)
Memoirs of Sherlock Holmes [11 stories],No description available,Crime & Mystery
Bridge to Terabithia,No description available,Amistad
Die Blechtrommel,No description available,Fiction
Ender's Game,No description available,New York Times bestseller
Harry Potter and the Deathly Hallows,No description available,the Elder Wand
The Book Thief,No description available,nyt:young-adult-paperback-monthly=2022-09-04
Chemistry,No description available,Textbooks
Self-knowledge,No description available,Conduct of life
Foundation,No description available,Psychohistory
The Last Man,No description available,Fiction
Discours de la méthode,No description available,Methodology
The Time Machine,No description available,Self-experimentation in medicine in fiction
The Andromeda Strain,No description available,air safety
Du contrat social,No description available,Peace
Dune,No description available,Dune (Imaginary place)
The Invisible Man,No description available,Ciencia-ficción
Flatland,No description available,Fourth dimension
The Martian Chronicles,No description available,American Science fiction
Fahrenheit 451,No description available,Mechanical Hound
The First Men in the Moon,No description available,Classic Literature
The Lost World,No description available,Adventure stories
The War of the Worlds,No description available,Imaginary wars and battles
The Awakening,No description available,Adultery
La Poetica,No description available,Metaphysics
The Island of Dr. Moreau,No description available,Islands
Frankenstein or The Modern Prometheus,No description available,Frankenstein (Fictitious character)
NASA/DoD aerospace knowledge diffusion research project,No description available,Aeronautical engineering
Autobiography,No description available,Wills
A Connecticut Yankee in King Arthur's Court,No description available,Time travel
Ender's Game,No description available,New York Times bestseller
Le Tour du Monde en Quatre-Vingts Jours,No description available,Viajes alrededor del mundo
कामसूत्र,No description available,Sex customs
Vingt mille lieues sous les mers,No description available,Toy and movable books
The Scarlet Letter,No description available,Fiction
Nicomachean Ethics,No description available,Ethics
2001,No description available,Human-computer interaction
Principles of Anatomy and Physiology,No description available,Anatomie humaine
On The Beach,No description available,Atomic Bomb
A Princess of Mars,No description available,John Carter (Fictitious character)
The Hitch Hiker's Guide to the Galaxy,No description available,comic science fiction
A Brief History of Time,No description available,Cosmologie
De rerum natura,No description available,Latin Didactic poetry
The Art of War,No description available,Open Library Staff Picks
Мы,No description available,Literature: Texts
Brave New World,No description available,Utopias
Anthem,No description available,Fiction
The Subtle Knife,No description available,Fantasy
The Handmaid's Tale,No description available,brothels
The food of the gods and how it came to earth,No description available,Fiction
Πολιτικά (Politiká),No description available,Politics and government
